lat,lng,api_data
35.7178,52.065,Radius=15000&SortBy=1&latitude=35.7178&longitude=52.065&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.4536,50.2883,Radius=15000&SortBy=1&latitude=33.4536&longitude=50.2883&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.4539,49.455,Radius=15000&SortBy=1&latitude=33.4539&longitude=49.455&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.5,51.9,Radius=15000&SortBy=1&latitude=33.5&longitude=51.9&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.4008,47.1131,Radius=15000&SortBy=1&latitude=36.4008&longitude=47.1131&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.6153,51.5556,Radius=15000&SortBy=1&latitude=32.6153&longitude=51.5556&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.9408,47.5367,Radius=15000&SortBy=1&latitude=37.9408&longitude=47.5367&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.2331,56.6022,Radius=15000&SortBy=1&latitude=29.2331&longitude=56.6022&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.6189,48.5258,Radius=15000&SortBy=1&latitude=37.6189&longitude=48.5258&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.5553,51.5097,Radius=15000&SortBy=1&latitude=32.5553&longitude=51.5097&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.5175,51.3597,Radius=15000&SortBy=1&latitude=35.5175&longitude=51.3597&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.4614,45.8647,Radius=15000&SortBy=1&latitude=34.4614&longitude=45.8647&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
27.665,54.1369,Radius=15000&SortBy=1&latitude=27.665&longitude=54.1369&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.6792,46.5667,Radius=15000&SortBy=1&latitude=36.6792&longitude=46.5667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.5764,60.1408,Radius=15000&SortBy=1&latitude=34.5764&longitude=60.1408&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.5767,51.455,Radius=15000&SortBy=1&latitude=32.5767&longitude=51.455&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
27.76,54.0072,Radius=15000&SortBy=1&latitude=27.76&longitude=54.0072&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2631,57.9722,Radius=15000&SortBy=1&latitude=35.2631&longitude=57.9722&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.8478,45.6622,Radius=15000&SortBy=1&latitude=38.8478&longitude=45.6622&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.2239,49.3125,Radius=15000&SortBy=1&latitude=37.2239&longitude=49.3125&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.4142,51.5694,Radius=15000&SortBy=1&latitude=31.4142&longitude=51.5694&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.7,53.35,Radius=15000&SortBy=1&latitude=35.7&longitude=53.35&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.4086,48.7942,Radius=15000&SortBy=1&latitude=31.4086&longitude=48.7942&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
